Alabama	303565.74
Alaska	300451.39
Arizona	486031.53
Arkansas	274221.14
California	1029264.47
Colorado	832411.37
Connecticut	670580.27
Delaware	433580.50
District of Columbia	882849.78
Florida	548208.99
Georgia	390397.32
Guam	713861.66
Hawaii	1240095.30
Idaho	663091.50
Illinois	349957.60
Indiana	292582.76
Iowa	251939.47
Kansas	361726.57
Kentucky	270528.87
Louisiana	286650.95
Maine	333854.80
Maryland	456430.52
Massachusetts	724824.71
Michigan	269695.43
Minnesota	366313.72
Mississippi	263481.41
Missouri	288089.50
Montana	792043.24
Nebraska	298352.66
Nevada	674207.60
New Brunswick	2500.00
New Hampshire	481941.00
New Jersey	569959.97
New Mexico	323991.71
New York	943815.12
North Carolina	335203.34
North Dakota	266812.81
Ohio	249097.88
Oklahoma	273453.29
Oregon	586858.94
Pennsylvania	331961.16
Puerto Rico	640685.75
Rhode Island	481324.21
South Carolina	387418.71
South Dakota	360940.32
Tennessee	377167.02
Texas	441598.94
Utah	881418.40
Vermont	444875.06
Virgin Islands	759440.05
Virginia	468093.68
Washington	658766.49
West Virginia	240045.93
Wisconsin	280261.27
Wyoming,612671.41	
